Designator,Mid X,Mid Y,Rotation,Layer
C17,114.0,-91.0,90.0,top
C18,108.0,-96.5,180.0,top
C19,135.0,-96.0,180.0,top
C20,135.0,-98.0,180.0,top
C21,125.75,-91.05,90.0,top
C22,123.5,-91.0,90.0,top
D3,132.5,-90.199898,90.0,top
D4,129.800102,-86.5,180.0,top
J1,121.5,-74.850013,0.0,top
J2,121.5,-96.200152,180.0,top
R1,128.5,-91.0,270.0,top
R3,116.0,-91.0,270.0,top
