Designator,Footprint,Quantity,Value,LCSC Part #
C17,C_0402,1,4.7uF 50V,
C18,C_0402,1,4.7uF,
C19,C_0402,1,0.1uF,
"C20, C21, C22",C_0402,3,1uF,
"D3, D4",RB500VM-40TE-17,2,RB500VM,
J1,HC-FPC-05-LT-10RLTAG,1,HC-FPC-05-LT-10RLTAG,
J2,F-FPC0N34P-D311,1,~,
R1,R_0402,1,49.9,
R3,R_0402,1,1.2M,
